                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                              SLOC COUNT RESULTS FOR ALL SOURCE FILES                              
                               Generated by UCC v.2015.12 on 2 4 2017                               
UCC -nocomplex -nolinks -nodup -ascii -unified -outdir /home/cs578user/Desktop/ArchRecOut/chukwa/chukwa-0._RELAX_java_2017-02-04_12_35_31_932/chukwa-0.6.0.UCC -dir /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0

                               RESULTS FOR ALL NON-WEB LANGUAGE FILES                               

   Total   Blank |      Comments    | Compiler  Data   Exec.  | Logical Physical | File  Module
   Lines   Lines |   Whole Embedded | Direct.   Decl.  Instr. |   SLOC    SLOC   | Type  Name
-----------------+------------------+-------------------------+------------------+---------------------------
      34       3 |      15        0 |       0       0      12 |      12       16 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/tools/expire.sh
      69      17 |      38        0 |       0       0      14 |      14       14 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/target/conf/chukwa-env.sh
      69      17 |      38        0 |       0       0      14 |      14       14 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/conf/chukwa-env.sh
     712      85 |      18       20 |       0     135     534 |     669      609 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/css/default.css
     752     113 |      24        5 |       0      98     308 |     406      615 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/css/flexigrid/flexigrid.css
     382      32 |      17        0 |       0      41     172 |     213      333 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/css/formalize.css
     311      53 |       8        0 |       0      48     154 |     202      250 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/css/timeline.css
     103      14 |      17        0 |       0      15      42 |      57       72 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/css/menu.css
      95       2 |      17        0 |       0      10      55 |      65       76 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/css/tab.css
     385      49 |       6        0 |       0      45     238 |     283      330 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/css/iui.css
      64       9 |      17        0 |       0      10      18 |      28       38 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/css/iframe.css
     192       3 |      29        0 |       0      37      86 |     123      160 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/css/timeframe.css
      18       0 |      17        0 |       0       0     397 |     397        1 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/excanvas.pack.js
      51       3 |      17        0 |       0       0      20 |      20       31 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/autoHeight.js
     133      16 |      22        0 |       0       0      57 |      57       95 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/json.js
      43       6 |       1        0 |       0       0      11 |      11       36 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/org/tool-man/events.js
      34       5 |       3        0 |       0       0       4 |       4       26 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/org/tool-man/cookies.js
      17       1 |       2        0 |       0       0       3 |       3       14 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/org/tool-man/css.js
     154      26 |      17        0 |       0       0       9 |       9      111 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/org/tool-man/coordinates.js
      87      11 |       7        0 |       0       0       8 |       8       69 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/org/tool-man/dragsort.js
     170      30 |      24        0 |       0       0      40 |      40      116 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/org/tool-man/core.js
     235      40 |      11        0 |       0       0      22 |      22      184 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/org/tool-man/drag.js
      32       1 |      17        0 |       0       0       9 |       9       14 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/host_selector.js
      10       1 |       8        0 |       0       0      14 |      14        1 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/flexigrid.pack.js
