                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                              SLOC COUNT RESULTS FOR ALL SOURCE FILES                              
                               Generated by UCC v.2015.12 on 3 7 2017                               
UCC -nocomplex -nolinks -nodup -ascii -unified -outdir /home/cs578user/Desktop/ArchRecOut/chukwa_me/chukwa-0._RELAX_java_2017-03-07_17_53_45_298/chukwa-0.4.0.UCC -dir /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0

                               RESULTS FOR ALL NON-WEB LANGUAGE FILES                               

   Total   Blank |      Comments    | Compiler  Data   Exec.  | Logical Physical | File  Module
   Lines   Lines |   Whole Embedded | Direct.   Decl.  Instr. |   SLOC    SLOC   | Type  Name
-----------------+------------------+-------------------------+------------------+---------------------------
      49       7 |      16        0 |       0       7      12 |      19       26 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/ChangesSimpleStyle.css
     170      17 |      23        0 |       0      31      74 |     105      130 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/ChangesFancyStyle.css
      90       4 |      16        0 |       0       0      56 |      56       70 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/skin/breadcrumbs-optimized.js
     237      32 |     102        0 |       0       0      67 |      67      103 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/skin/breadcrumbs.js
     587      57 |      42       13 |       0     102     359 |     461      488 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/skin/screen.css
     180      38 |       2        0 |       0      85     147 |     232      140 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/skin/profile.css
      48       4 |      22        2 |       0       0      13 |      13       22 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/skin/menu.js
      45       4 |      22        2 |       0       0      12 |      12       19 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/skin/getMenu.js
    1257     204 |      36        0 |       0       0     707 |     707     1017 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/skin/prototype.js
      54       6 |      16        0 |       0       7      16 |      23       32 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/skin/print.css
     166      17 |      23        0 |       0      31      72 |     103      126 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/skin/basic.css
     166      34 |      18        1 |       0       0      67 |      67      114 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/skin/fontsize.js
      40       0 |      27        0 |       0       0       8 |       8       13 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/skin/getBlank.js
      29       8 |       7        5 |       0      14      34 |      48       14 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/docs/api/stylesheet.css
      34       3 |      15        0 |       0       0      12 |      12       16 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/tools/expire.sh
     694      85 |       1       20 |       0     134     533 |     667      608 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/css/default.css
     729     109 |       5        5 |       0      98     308 |     406      615 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/css/flexigrid/flexigrid.css
     311      53 |       8        0 |       0      48     154 |     202      250 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/css/timeline.css
      86      14 |       0        0 |       0      15      42 |      57       72 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/css/menu.css
     166      22 |      83        0 |       0      12      79 |      91       61 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/css/tab.css
     385      49 |       6        0 |       0      45     238 |     283      330 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/css/iui.css
      47       9 |       0        0 |       0      10      18 |      28       38 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/css/iframe.css
     175       3 |      12        0 |       0      37      86 |     123      160 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/css/timeframe.css
       1       0 |       0        0 |       0       0     397 |     397        1 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/excanvas.pack.js
     133      16 |      22        0 |       0       0      57 |      57       95 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/json.js
